dish_name,description,spice,views,rating,number_of_votes,serves,dietary_info,ingredients,instructions,prep_time,cook_time
Chapli Kebabs,Tangy Beef Patties,medium,67920,4.0,42.0,4.0,['LACTOSE-FREE'],"['500g ground beef', '4 tbsp whole wheat flour', '1 medium onion, finely chopped', '1 tsp chilli powder', '1 tsp cumin seeds', '1 tsp garam masala', '1 tsp salt', 'Handful fresh coriander, chopped', '2 green chillies, finely chopped', '1 tbsp coriander seeds, crushed', '1 tsp anardana\xa0(pomegranate seeds)', '2 medium tomatoes,chopped', 'Oil for frying']","['Place the minced beef into a bowl.', 'Crush the coriander, cumin and anardana seeds in a pestle and mortar or in a spice grinder and add to the bowl.', 'Sprinkle in the flour and add the chopped onions, chopped chillies, tomatoes, coriander, garam masala, salt and chilli powder.', 'Mix ingredient to combine all the flavours and form the mixture into flat patties about 1cm thick.', 'Heat the oil in a pan and shallow fry them for about a minute then turn them over. Once cooked through place on some kitchen roll and serve with fresh naan, a red onion salad and yoghurt.']",10,10
Chicken Balti,Chicken Balti,hot,285630,3.4,527.0,4.0,['LACTOSE-FREE'],"['3cm ginger', '6 garlic cloves', '2 tomatoes, quartered', '1½ tsp garam masala', '1½ tsp cumin seeds, crushed', '1 tbsp coriander seeds, crushed', '1 tsp turmeric', '1 tsp Kashmiri chilli powder', '1 tbsp full-fat Greek yogurt', 'Salt, to taste', '2 tbsp rapeseed oil', '1 tsp brown mustard seeds', '1 bay leaf', '1 onion, finely chopped', '6–10 whole green chillies, (reduce if this is too many for you)', '500g boneless chicken thigh fillets, cut into bite-size chunks', 'Black peppercorns, freshly ground', '1 tbsp lemon juice, or to taste', 'Large handful of finely chopped, fresh coriander leaves']","['Blend together the ginger and garlic in a pestle and mortar or blender and set to one side.', 'Grind the cumin and coriander seeds and set to one side.', 'Blend the tomatoes to a paste and stir in the ground spices, garam masala,\xa0turmeric, Kashmiri chilli powder, yoghurt and salt.', 'Heat the oil in a non-stick saucepan (or karahi if you have one) and add the mustard seeds.', 'Once the mustard seeds pop, add the bay leaf and chopped onion.', 'Stir and cook on a medium heat. After about 15 minutes add the minced ginger and garlic with the green chillies\xa0for at least 20-30 minutes until the onions are well browned. If the onions catch, add a splash of water and continue to cook the onions.', 'Stir in the blended tomatoes, spices and yoghurt mix. Turn the heat up and stir until the mixture thickens and you are left with a thick masala paste (10-15 minutes).', 'Add the chicken pieces and stir into the thick masala to coat it.', 'Reduce the heat and place the lid on the pan. Leave to cook for about 20 minutes, stirring every now and again.', 'The chicken will produce a lovely thick gravy.\xa0Once the chicken is cooked through you can adjust the consistency of the sauce to your preference. To loosen, just add a little hot water, or to reduce it and make it thicker, cook further on a high flame.', 'Once cooked, add some black pepper and a squeeze of lemon, then check the seasoning.', 'Stir in the chopped coriander and serve.']",20,40
Chicken Burrito,Chicken Chaat Roti,medium,45609,3.4,21.0,4.0,['HEALTHY'],"['260g Roti flour', '½ tsp salt', '2 tsp oil', '50g big handful of spinach', '100ml warm milk']","['Heat water in a pan and add spinach. Blanch for a minute then remove and rinse under cold water.', 'Place the cooked spinach into a blender and add the milk. Blitz to a puree and set to one side.', 'In a bowl, mix flour, salt and oil together. Pour in the spinach and puree a little at a time and knead to make a soft dough.', 'Cover the dough with a damp cloth and leave to rest for 20 minutes.', 'When ready to cook, heat your tava or frying pan to a medium heat.', 'Roll out the roti and place on the pan to cook. Once it changes colour a little, turn and cook the other side. Place in a tea towel to keep warm.']",10,20
Chicken Chaat,Tangy Shredded Chicken,hot,82282,4.0,47.0,4.0,['DAIRY-FREE'],"['4 chicken thighs, skinned and trimmed', '3 cloves garlic', '1 tsp salt', '1 tbsp vegetable oil', '1 onion, finely diced', '2 green chillies, finely chopped', '2-4 tbsp tamarind water, or juice from\xa01 lemon', '1 tsp red chilli powder', '1 tsp mango powder (amchoor)', 'Handful of fresh coriander, chopped']","['Place chicken in a pan and cover with water, add the garlic cloves, salt and place on a gentle heat.', 'Cook for about 10 minutes and remove from the water and leave to cool. Retain the water as stock.', 'Heat the oil in a pan and add the onions, cook gently until browned.', 'Add the green chilli, salt to taste and pour in the tamarind water with a little of the stock water from the chicken.', 'Cook gently and let the sauce reduce. Add a little more stock and cook to thicken.\xa0After about 5 minutes add both the chilli and mango powders.', 'Once the chicken has cooled, shred it using two forks and add to the sauce.', 'Stir to coat and leave to cook for a few minutes.', 'Remove from the heat and sprinkle in the garam masala and a handful of fresh coriander.']",10,10
Chicken Salad with Pink Grapefruit and Cumin Dressing,Spicy Chicken Salad,mild,29379,4.1,16.0,4.0,['HEALTHY'],"['4 chicken thighs,\xa0trimmed', '5cm piece ginger', '3 cloves of garlic', '1 pink grapefruit, juice', '1 tbsp oil,', '1 tsp chilli powder', '1 tsp garam masala', 'salt to taste']","['Heat the oven to 180ºC.', 'Cut the chicken into chunks and set to one side.', 'Crush the ginger and garlic in a pestle and mortar and place in a bowl.', 'Squeeze in the\xa0juice from the grapefruit and pour in the oil, chilli powder, garam masala and salt.', 'Mix the chicken to marinade for a few minutes then place onto a baking sheet and cook in the oven for 15-20 minutes until cooked through.', 'Meanwhile, mix the dressing ingredients with juice from half the\xa0grapefruit in a jam jar and shake to mix.', 'With the other half of the grapefruit slice out the segments.', 'Once the chicken is cooked leave to cool.', 'Put the salad leaves into a bowl\xa0and dress with the dressing then place the pieces of chicken onto the salad with the segments of grapefruit.', 'Sprinkle over the mint and coriander and serve.']",10,15
Chole Bhatura,Tangy Chickpeas and Fluffy Bread,medium,32149,3.7,40.0,6.0,['VEGETARIAN'],"['400g tin of chickpeas', '2 black teabags in mug with boiling water poured over', '5cm piece tamarind, soaked in about 100ml boiling water', '1 tbsp ghee', '1 tsp cumin seeds', '2 medium onions, thinly sliced', '4 cloves of garlic, sliced', '4cm piece ginger, grated', '2-3 green chillies, sliced lengthways', '400g tin of plum\xa0tomatoes', '1 tsp Kashmiri chilli powder', '1tsp turmeric', '1 tsp coriander seeds, crushed', '2 tsp cumin seeds, crushed', '½ tsp black salt', 'Salt to taste', '½ tsp garam masala', '1 tbsp lemon juice', '1 heaped tsp amchoor / chaat masala', 'Fresh coriander, roughly chopped for garnish']","['In a heavy-bottomed saucepan, heat the ghee and add the cumin seeds. Once they sizzle and the sliced onions and cook for 5-10 minutes until they turn golden.', 'Stir in the sliced garlic and keep stirring until it starts to change\xa0colour. Add the ginger and sliced chilli.', 'Fry for a minute and then add the tomatoes and tea water before sieving in the tamarind water. Leave this to simmer away and cook down until the tomatoes and onions start to combine to create a thick masala.', 'Add the chilli powder, ground coriander, cumin and turmeric. Stir for a few minutes until the masala is aromatic and thick.', 'Drain the water from the tinned chickpeas and place into the masala. Add a little water and leave to cook on a gentle heat for 5-10 minutes.', 'Sprinkle in the black salt and leave to cook for about 5 minutes.', 'Keep an eye on the pan and stir every few minutes. Add more liquid if required.', 'Check the seasoning and adjust if required. Make sure the chickpeas are nice and soft and the sauce is thick.', 'Add the garam masala and a good squeeze of fresh lemon juice and sprinkle over the amchoor.']",10,20
Corn and Pomegranate Kachumber,Corn and Pomegranate Salad,mild,37660,3.7,31.0,2.0,['VEGETARIAN'],"['300g tin sweetcorn', '¼ of a cucumber, peeled and diced', '2 tomatoes, diced', 'crunchy corn (bought from supermarkets)', 'handful of pomegranate jewels', 'handful of pea shoots']","['Wash the corn and leave to dry.', 'Mix all the dressing ingredients in jam\xa0jar and shake to mix all the flavours together. Set to one side.', 'Place in a bowl the corn with the diced cucumber and diced tomatoes.', 'Sieve\xa0the dressing over the salad and toss it together.', 'Sprinkle in the pea shoots\xa0and finally, sprinkle the crunchy corn and pomegranate on top and serve.']",10,0
Cucumber Raita,Cucumber Yoghurt,,74026,3.1,71.0,4.0,['VEGETARIAN'],"['½\xa0cucumber (more if you want)', '200ml low-fat natural set yoghurt (I also like to use Greek yoghurt)', '1 tsp garam masala', '1 tsp Kashmiri chilli powder']","['Carefully grate the cucumber, leaving the skin on.', 'Either using a cloth or just your hands, squeeze any excess liquid from the cucumber.', 'Once it is drained place in a small bowl.', 'Add the yoghurt and garam masala and stir the cucumber through.', 'Sprinkle the chilli on top to serve.']",5,0
Curried Butternut Squash Soup,50 mins,hot,62855,3.8,59.0,4.0,['VEGETARIAN'],"['1 butternut squash', '1 red onion, chopped', '1 tsp cumin seeds', '2 garlic cloves, chopped finely', '3cm piece ginger, grated', '2 red chillies, chopped (keep some for garnish)', '500ml water or chicken stock', '50ml coconut cream']","['Slice the squash into four long strips, remove the seeds and place on a tray with a little knob of butter on each and roast at 180°C\xa0for about 35 minutes until soft.', 'Meanwhile heat some oil and add cumin seeds until fragrant, then add onions and cook gently until soft.', 'Stir in the garlic and ginger and chilli and cook gently for about 5 minutes.', 'Once the squash is soft scrape the flesh out and discard the skin. Stir the flesh into the onions.', 'Add the stock and cook through until everything is soft (about 5 minutes).', ""Using a hand blender blitz the soup until it's smooth and thick. Pour in the coconut cream and if it's too thick add a little hot water."", 'Pour into bowls and top with a swirl of coconut cream and a chopped chilli. Serve with some crisp naan bread.']",10,40
Dal Bhat,Nepalese Lentil Soup,mild,7533,0.0,0.0,4.0,['VEGETARIAN'],"['2 tbsp ghee or oil', '1 onion, finely chopped', '2 garlic cloves, minced', '5cm piece of ginger, grated', '1 tsp coriander seeds, crushed', '1 green chilli (optional)', '½\xa0tsp red chilli powder', '½\xa0tsp turmeric', '200g red lentils, washed', '700ml water', '1\xa0tsp salt']","['Heat the ghee or oil in a large frying pan and cook the onions until translucent but not brown.', 'Turn the heat to low and add in the garlic, ginger, chopped chilli (if using) crushed coriander seeds, red chilli powder and turmeric. Stir to combine for about 3 minutes or so.', 'Add the red lentils and mix with the onion mixture.', 'Pour thd water in and bring it to a boil, add the salt and reduce heat to a simmer for about 15 minutes or until the lentils are tender.', 'Remove from the heat and stir in the fresh coriander.']",10,20
Dhal Makhani,Buttery Black Lentil Dhal,medium,161617,3.9,78.0,4.0,['VEGETARIAN'],"['100g dry urid dhal (whole black lentils)', '25g dry rajma (kidney beans)']","['Clean, wash and soak the black lentils and kidney beans separately, overnight.', 'Drain and keep aside. Combine the two dhals and add 2 cups of water with a little salt and put into a pressure cooker and cook for about 25 minutes until they are cooked and soft. (DO NOT REMOVE the lid of the pressure cooker until fully cooled and pressure has been released.)', 'Heat the oil in a pan and add cumin seeds.', 'When the cumin seeds crackle, add chopped onions and garlic.', 'Fry the onion until golden brown over a medium flame.', 'Stir in the tomato purée, add the turmeric, chilli powder, ginger, green chillies and crushed coriander.', 'Cook for a few minutes so the onions and tomatoes melt together.', 'Add the cooked dhal and 1 cup of water and season with a little salt to taste.', 'Leave to simmer for 15 minutes until it is lovely and thick. (Take care as it may catch on the bottom of the pan.)', 'Stir in the butter, garam masala and fenugreek to make the dhal rich and delicious.', 'Garnish with a sprinkle of fresh coriander and serve.']",10,30
Easy Chicken Curry,Chicken masala,medium,125120,3.6,174.0,4.0,['DAIRY-FREE'],"['2 tbsp oil', '400g chicken thigh fillets, trimmed and chopped', '2 large onions', '1 tsp salt', '3 cloves of garlic', '3cm fresh ginger', '1 or 2 green chillies', '200g plum tomato tin, pureed', '½ tsp turmeric powder', '½ tsp red chilli powder', '1 tsp garam masala powder', 'Large pinch of fresh coriander, chopped']","['Blend the onions in a food processor.', 'Heat oil in a pan and sauté the onion paste. If it starts to stick, just add a little water and stir.', 'Stir in the salt to help the onions cook.', 'Put the ginger, garlic and chillies into a blender and blend to a paste (add a little water if required)', 'After 10 minutes of cooking the onions they should have browned a little. Now stir in the garlic, ginger and chilli paste.', 'Once softened add the pureed tinned tomatoes and increase the heat until the tomatoes start to simmer.', 'Reduce the heat and add the turmeric, chilli powder and garam masala. Cook together until the tomatoes and onions start to break down and the masala dries up and becomes paste-like.', 'Add chicken pieces into the masala. Stir well and cook for a few minutes. Reduce the heat to the lowest setting and put the lid on the pan. Leave to cook for about 15-20 minutes, stirring intermittently.', 'The chicken should be cooked through. To add a little more gravy pour in some hot water and stir before removing from the heat.', 'Check the seasoning and adjust if you need to. Sprinkle in the coriander and stir.', 'Serve with plain rice or roti.']",10,30
Fennel and Seafood Salad,30 mins,mild,25739,4.8,13.0,4.0,['LACTOSE-FREE'],"['200g raw prawns', '½ tsp chilli powder', 'salt to taste', '200g raw squid', '½ tsp turmeric', '1 fillet of salmon, skinned and chopped into chunks', '½ tsp chaat masala', 'salt', '1 bulb of fennel', '1 ripe nectarine, sliced', 'handful\xa0fresh coriander, chopped']","['Sprinkle the chilli powder and salt on the prawns and griddle or fry in a pan until cooked through and set to one side.', 'Sprinkle the squid\xa0with the turmeric and salt and fry until cooked through.', 'Coat the fish with the chaat masala and place on an oven tray and cook at 180C for 5 minutes.', 'Slice the fennel very finely and sprinkle\xa0with a little oil and griddle.', 'Mix all the ingredients for the dressing and leave to one side.', 'Place fennel into a bowl and sprinkle with coriander leaves, the cooked seafood and then pour over the marinade and toss together.', 'Slice the nectarine and place into the bowl and serve.']",20,20
Fennel and Tomato Shorba,Fennel and Tomato Soup,medium,21093,4.5,20.0,4.0,['VEGETARIAN'],"['2 tbsp oil', '1 tsp fennel seeds', '5 cloves of garlic, sliced', '2 green chillies', '1 tsp salt', '400g ripe tomatoes, roughly chopped', 'fresh coriander, 1 handful', 'approx 750ml water', '1 tsp fennel, roasted and roughly crushed for the garnish']","['Heat oil and add the fennel seeds, when they sizzle add the garlic and cook until it starts to brown.', 'Throw in the whole green chillies and the salt.', 'Add the chopped tomatoes and increase the heat to start them cooking.', 'Pour over enough water to just cover the tomatoes and bring to a boil then add in the coriander.', 'Leave it to simmer for 15-20 minutes.', 'Blitz with a hand blender until smooth.', 'Return to the stove for 5 minutes then pour into serving bowls or cups.', 'Sprinkle with roasted fennel serve.']",10,20
Goan Fish Curry,Goa di Machchi,hot,222310,3.2,235.0,4.0,['LACTOSE-FREE'],"['600g skinless white fish fillets, chopped into chunks']","['Mix the salt, lemon juice and turmeric powder and rub over the fish chunks and leave to marinate for 30 minutes.', 'Soak the dried chilli in 250ml of warm water for 15 minutes. Drain and reserve the water.', 'Make up the spice paste by placing the soaked chillies, coconut, coriander seeds, chopped onion, cumin seeds, turmeric powder, garlic, tamarind extract and two tablespoons of the reserved soaking water in a blender and process to make a smooth paste.', ""Heat oil in a shallow wide based pan and add the sliced onion and fry to soften - do not brown. Add the spice paste and cook until golden brown. You may need a splash of water to ensure the paste doesn't burn."", 'Once aromatic stir in the tomato purée and fresh chillies and cook for a further five minutes.', 'Add water (or coconut milk if you prefer) to create a lovely sauce, bring to the boil and cook for a few more minutes.', 'Reduce the heat and gently place the marinated fish with any juice into the pan and cook for between five and seven minutes until the fish is soft.', 'Sprinkle with coriander to serve.']",30,20
Gol Guppa,Pani Puri,medium,84891,4.2,24.0,6.0,['VEGETARIAN'],"['200g fine semolina', '4 tbsp plain flour, plus some for dusting', 'Salt, pinch', 'Black pepper, pinch', '130ml sparkling water', 'Vegetable oil for frying']","['To make the puris, place the semolina, flour, a pinch of salt and pepper into a bowl, and gradually add the sparkling water.', 'Stir continuously until the mixture comes together and forms a soft dough. Place into a bowl that has been dusted with flour and cover with a damp tea towel for about 30 minutes.', 'Place a large, deep pan or a wok on a gentle heat and pour in the vegetable oil and allow it to get really hot.', ""Separate the dough into 4 bits and roll it out so it's thin (about 1mm thick). Using a 5cm cutter cut out as many circles as you can. Or take small grape sized balls of the puri dough and roll into a ball with your hands. On a floured surface roll it out to make thin, flat circles, about 5-6cm across."", ""To test if it's hot enough, drop a tiny piece of dough into the pan – if it floats to the surface and starts to sizzle, it's ready."", ""Very gently slide in one circle of puri dough and fry for 2 to 3 minutes. Then using your spoon to push them under the oil, then carefully flip them over and continue cooking for 1-2 minutes, until it's golden and crisp. Transfer to a kitchen paper to drain, and repeat with the remaining dough.""]",40,15
Green Chilli Sauce,Hot Green Sauce,hot,110923,3.5,58.0,,['VEGETARIAN'],"['100g large green chilli\xa0(mild)', '100g rocket green chilli\xa0(hot)', '175ml white vinegar', '2 tsp cumin seeds', '5 cm root ginger', '1½ tsp salt', '2 pinches asafoetida', '3 tbsp oil']","['Put some kitchen gloves on and wash the green chillies. Remove the stems and cut it into large chunks.', 'Wash the ginger and cut it into small bits.', 'Heat oil in a pan then add the cumin seeds and asafoetida until fragrant.', 'Add the green chillies and ginger to the pan stir in the salt and cook for 2 minutes.', 'Pour in 70ml water and put the lid on the pan - leave to cook for about 15 minutes on a gentle heat stirring occasionally.', 'Once soft (after about 15 minutes) take the lid off and leave to reduce for a few minutes then remove from the heat and leave to cool.', 'Pour into a blender and blitz. Pour in the vinegar a little at a time and blend.', 'Once ready store the chilli sauce in a clean, dry jar. This will keep for 2-3 months.']",5,20
Gurkha Chicken Curry,Nepalese chicken curry,mild,21503,3.0,93.0,4.0,['WHEAT-FREE'],"['5 green cardamom pods', '1 tsp fennel seeds', '1 tbsp ginger, roughly chopped', '3 garlic cloves, roughly chopped', '150g Greek yoghurt', '8 pieces of chicken, thigh and drumsticks skinned', '2 tbsp rapeseed oil', '2 onions, sliced', '2 tsp cumin seeds', '4 cloves', '7cm stick of cassia bark', '2 bay leaves', '1 tsp turmeric', '½ tsp mace, ground', '¼-1 tsp Kashmiri chilli powder', '4 medium tomatoes, chopped']","['Toast the cardamom pods with the fennel seeds until fragrant. Remove from the pan and let them cool.\xa0 Crush with a pestle and mortar and remove the husk.', 'Add the ginger and garlic to the pestle and mortar and bash the to make a paste.', 'Put the yoghurt into a large bowl and add the spice paste with the salt and stir to combine everything.', 'Add the chicken and coat it all over, leave it to mariante for at least 2 hours.', 'When you are ready to cook heat the oil in a large oven-proof pan.', 'Remove the chicken and scrape off the excess marinade back into the bowl, reserve this for later.', 'Add the chicken to the pan and fry for 5 minutes on one side until brown, then turn it over and cook for another 4-5 minutes.', 'Remove the chicken from the pan and set to one side.', 'Add a little more oil and add the cumin seeds, cloves, bay and cassia bark to the pan. When the spices are fragrant add the onions and saute for about 10 minutes until they turn golden brown.', 'Add the turmeric, mace and chilli powder and cook for a further 1 minute.', 'Add water (approx 250ml) to the pan and simmer for 2-3 minutes until it’s reduced.', 'Mix the chopped tomatoes in with the remaining marinade and add it all to the pan.', 'Stir and then add the chicken back to the pan. Simmer on a low heat for 40 minutes or place in the oven at 180ºC for the same amount of time.']",130,60
Halibut with Indian spices,1 hr 16 mins,medium,90434,3.7,63.0,4.0,['LACTOSE-FREE'],"['2 tsp cumin seeds', '2 tsp coriander seeds', '2 tsp fennel seeds', '4 cloves', '1 tsp turmeric', '½ tsp chilli powder (add more for more heat)', '4 halibut fillets or steaks (approx 140g each)', '1-3 tbsp mustard oil']","['In a dry cast-iron pan, toast the cumin, coriander, fennel, and cloves over medium heat until fragrant, about two minutes. Leave to cool for a few minutes.', 'Transfer to a spice grinder or a mortar and grind to a fine powder. Put the ground spices in a small bowl and add the turmeric and chilli powder.', 'Lay the halibut on a baking sheet and season with salt and pepper. Drizzle with the mustard oil. Sprinkle the spice mixture over the fish, then massage it in. Cover and refrigerate for an hour. Bring the fish to room temperature before cooking.', ""Fry the halibut for 3 minutes on each side, until it's just opaque throughout. You can also cook the fish under a grill or baked it in the oven at 180°C for 10 minutes.""]",10,6
Indian Slaw,Spiced Coleslaw,medium,18140,4.0,16.0,4.0,['VEGETARIAN'],"['2-3 medium carrots, peeled and coarsely shredded', 'half a white cabbage, cored and finely shredd', '1 red onion, halved and finely sliced', '3 tbsp Greek yogurt', '2 tbsp mayonnaise', 'Juice of half a lemon,', '½-1 red chilli (or to taste),\xa0finely sliced', '½ tsp cumin seeds, toasted', '½ tsp Kashmiri chilli powder', '1 tsp turmeric', '½ tsp salt (or to taste)', 'handful of fresh coriander, chopped', '40g cashews, toasted']","['In a large bowl, mix the carrots, cabbage and onion.', 'Toast the cumin seeds in a dry pan until aromatic and keep to one side', 'Toast the cashew nuts until golden and set a side.', 'Mix the yogurt, mayonnaise, lime juice, chopped chilli, toasted cumin seeds, turmeric, chilli powder, salt and tip into the shredded veg mix. Stir to mix everything together.', 'Stir in half the coriander and half the cashews. Top with remaining coriander and cashews just before serving.']",10,0
Indian Summer Greens,20 mins,mild,50226,3.6,60.0,6.0,['VEGETARIAN'],"['1 tbsp butter', '1 tsp cumin seeds', '½ tsp mustard seeds', '4 green chillies, finely chopped', '4cm piece root ginger', '½ tsp turmeric', '500g summer greens, shredded', '100g peas / blanched broad beans', '1 lemon', '2 tbsp coconut, grated', '1 tsp garam masala']","['Heat the butter in a large non-stick pan or wok, sizzle the cumin and mustard seeds until fragrant, then add the chilli, ginger and turmeric.', 'Fry until aromatic, then add the greens, a pinch of salt, a splash of water and the peas or broad beans.', 'Cook for 4-5 mins until the greens have wilted.', 'Add a squeeze of lemon juice, garam masala and the coconut, then toss everything together to serve.']",10,10
Jamaican Chicken Curry,Chicken Curry,medium,12179,3.4,22.0,4.0,['LACTOSE-FREE'],"['1 whole chicken, cut into pieces or 8 pieces of chicken on the bone, skinned', '1 tsp salt', '1 tsp ground black pepper', '1 tsp all purpose seasoning', '1 tsp chicken seasoning', '1 tsp curry powder', '2 tbsp vegetable oil', '3 spring onions', '1 medium onion', '4 springs of fresh thyme', '3 garlic cloves', '1 whole scotch bonnet pepper', '2 tsp curry powder', '1 large carrot, 5cm chunks', '2 potatoes, 5cm cubes']","['Mix the marinade ingredients and rub all over the chicken pieces, leave to one side for a couple of hours.', 'Heat vegetable oil in a saucepan over medium heat, adding garlic, onion, spring onion and scotch bonnet pepper and stir for 3 minutes.', 'Add 2 tsp of curry powder and cook for further 5 minutes.', 'Add marinated chicken and brown for 10 minutes, turning chicken and browning for a further 5 minutes.', 'Add carrots and potato with a cup of water and cook through until the vegetables are tender.']",10,30
Jeera Chaul,Cumin and Pea Rice,,67651,4.1,29.0,4.0,['VEGETARIAN'],"['1 tbsp oil', '1 tsp cumin seeds', '1 small onion, finely sliced', '200g/1 mug Basmati rice', '50g frozen peas', '500ml/2 mugs full, cold water']","['Wash the rice until the water runs clear. I do this by covering the rice with water and running my hand through it, pouring the starchy water away then refilling with cold water and repeating until the water runs clear. Strain in a sieve and leave.', 'In a wide based pan heat the oil and add the onions and fry until translucent.', 'Add the whole cumin seeds. When they sizzle and become fragrant stir in the frozen peas', 'Add the washed rice, stir to coat with the oil then pour in 500ml of water (twice the amount of water to rice).', 'Bring the water to a vigorous rolling boil, reduce the heat to the lowest setting and place the lid on the pan.', 'Leave to cook for 12 minutes do not remove the lid - be patient!', 'After 12 minutes remove from the heat and take the lid off. Leave to sit for a couple of minutes. All the water will all be absorbed and the rice will be light and fluffy.', 'Gently fork through the rice (never dive straight in) and serve.']",10,15
Jeera Pani,Cumin soda water,none,30233,3.9,13.0,6.0,['VEGETARIAN'],"['Handful of mint leaves', '2 litres soda water', '1 tsp toasted ground cumin', '½ tsp ground black pepper', 'Juice of 2 limes', 'Good pinch of sea salt', '1 heaped tbsp sugar']","['Bash the mint leaves between your palms to release their flavourful aroma, then place in a jug with the soda water, cumin and black pepper.', 'In a dish or using a pestle and mortar, mix together the lime juice, salt and sugar until the sugar has dissolved.', 'Add the sugar mixture to the soda water, stir until well combined (or use a blender if preferred) and serve, with or without ice, in long glasses on hot days.']",5,0
Jeera Raita,Cumin Yoghurt,mild,30977,3.6,7.0,4.0,['VEGETARIAN'],"['200ml natural set yoghurt', 'A splash of milk', '1 tbsp cumin seeds', '½\xa0cucumber, cubed', '1 large tomato, cubed', '½\xa0red onion, very finely diced', '½\xa0tsp salt', '1 tsp chilli powder', '1 tsp garam masala', 'Coriander to garnish']","['Heat a non-stick frying pan, add the cumin seeds and dry roast gently.', 'Stir until they turn a shade darker and release their musky aroma.', 'Remove and crush the seeds in a pestle and mortar.', 'Put the yoghurt in a large bowl and add enough milk to get a runny consistency.', 'Add the chopped tomatoes, cucumber, onion, salt and cumin.', 'Stir together. Sprinkle on the chilli powder and garam masala.', 'Garnish with coriander sprigs and refrigerate until required.']",5,5
Kachumber Salad,"Tomato, Onion and Cucumber Salad",medium,50816,3.2,75.0,4.0,['VEGETARIAN'],"['1 small red onion', '½\xa0cucumber', '1 tomato', 'Fresh coriander leaves', '1 lemon', '1 tsp salt', '½ tsp garam masala']","['Cut the onions, cucumber, tomato into a very fine dice and place into a bowl.', 'Finely chop the coriander and place into the bowl.', 'Squeeze in the lemon and sprinkle in the salt and garam masala - stir and serve.']",20,0
Kale and Chickpea Curry,Sholay Saag,medium,221740,3.6,248.0,4.0,['VEGETARIAN'],"['1-2 tbsp rapeseed oil', '½ tsp mustard seeds', '1 tsp cumin seeds', '1 large onion, diced', '4 garlic cloves, crushed', '4 plum tomatoes or 200g tinned tomatoes', '800g/2 tins of chickpeas,\xa0drained and rinsed', '1 tsp salt, or to taste', '1 heaped tsp coriander seeds, crushed', '1 green chilli, chopped', '1 tsp red chilli powder', '1 tsp turmeric', '200g kale, chopped', '1 green chilli, sliced for garnish']","[""Heat the oil in a lidded pan over a medium heat and when it's hot add the mustard seeds and then the cumin seeds."", 'Stir for a minute until you can smell the aroma of the cumin seeds and the mustard seeds stop sizzling, then add the diced onions.', 'Fry the onions for 15 minutes until they start to brown, then add the garlic. Fry together for 4 minutes before adding the tomatoes, stir and leave to cook for a few minutes. Add a little water if required.', 'Add the crushed coriander, green chilli, chilli powder, turmeric and salt and leave to cook on a gentle heat until the\xa0tomatoes start to break down and create a thick masala sauce (about 10 minutes).', 'Turn the heat up to thicken the sauce a little if required.', 'Add the chickpeas and stir to coat them with the masala. Add a splash of water and let them\xa0simmer for 5 minutes.', 'Add the chopped kale, a handful at a time, stirring in between. Leave this to cook for 5 minutes until kale is soft and tender. Top with the sliced chilli and serve with\xa0poori\xa0with some fresh plain yoghurt.']",5,25
Kasundi Halibut with Cumin Kale Crisps,Halibut with mustard and mango sauce and kale crisps,medium,16307,4.8,8.0,4.0,['LACTOSE-FREE'],"['4 pieces of chunky halibut or white fish', 'Juice from 1 lemon', '1 tbsp mustard paste', '1 garlic clove, crushed', '1 tsp cumin seeds, crushed', '½ tsp salt', '½ tsp turmeric', '¼ tsp chilli powder', '1 tbsp rapeseed oil']","['Combine all the ingredients except the halibut in a wide bowl so they are mixed together to form a yellow mixture', 'Coat the pieces of fish with the mixture and leave to marinade for as long as possible', 'To cook the fish, heat a drizzle of rapeseed oil in a non-stick frying pan. Once smoking, place fish in the pan reduce the heat and cook for 4-5 minutes. Turn it over and cook for a further 4 minutes until cooked through.']",10,10
Kati Egg Roll with Basmati & Quinoa,Spiced rice tucked into a kati egg roll,mild,7405,5.0,3.0,4.0,['HEALTHY'],"['100g\xa0Brown Basmati rice (or use left over rice)', '20g Quinoa', '1 tbsp Rapeseed oil', '1 tsp cumin seeds', '1 onion, sliced', '1 clove of garlic, chopped', '4 mushrooms, chopped', '½ tsp salt', '1 fresh green chilli, chopped', '2 tomatoes, chopped', 'Handful of spinach', 'Large pinch of coriander', '1 tsp garam masala', '2 tsp chaat masala', '100g grated paneer']","['Wash the quinoa and rice then add to a pan of boiling water simmer gently for 25 minutes.', 'Drain well and cover for a few minutes.', 'Heat oil in a pan and add the cumin seeds until the sizzle. Stir in the sliced onion and cook for 2-3 minutes until translucent then add the garlic and cook for 3-4 minutes.', 'Add the chopped mushrooms and cook for a few minutes with salt and chilli.', 'Add the tomatoes and cook to a paste before adding the spinach.', 'Stir in the cooked rice and add 1 tsp of garam masala, the chopped coriander and the paneer. Check the seasoning and set to one side.', 'Heat a non-stick frying pan and add the oil.', 'Whisk the eggs in a wide bowl and add garam masala, chilli powder and salt.', 'Dip in one tortiila wrap and place into the frying pan on a gentle heat and cook until crisp.', 'Gently place the wrap onto a plate and fill with the cooked rice and roll it up. Serve with pickle and yoghurt.']",35,10
